Components,Quantity,Total Price,Buy Link
INMP441 Microphone Module I2S,2,5,https://makerbazar.in/products/inmp441-mems-high-precision-omnidirectional-microphone-module-i2s
5 inch LCD HDMI Touch Screen,1,28.93,https://robocraze.com/products/5-inch-lcd-hdmi-touch-screen-display-tft-lcd-panel-module?_pos=3&_psq=screen&_ss=e&_v=1.0
Raspberry Pi Zero 2 W,1,18.81,https://makerbazar.in/products/raspberry-pi-zero-2-w-development-board?variant=42910344708336
TTP223R Touch Sensor,5,0.51,https://makerbazar.in/products/capacitive-touch-sensor-switch-module?variant=46279338950896
PBS-11 12mm Push Button,2,0.32,https://makerbazar.in/products/pbs-11-12mm-push-button-panel-mount-witch?variant=46809202032880
PAM8403 with knob,1,0.67,https://makerbazar.in/products/pam8403-mini-audio-amplifier-board-with-volume-control
Knob-202,1,0.091,https://makerbazar.in/products/premium-knob-202-multiple-colour-potentiometer-knob-with-buffer?variant=41270519693463
2-Inch Speakers,2,2.26,https://makerbazar.in/products/speaker-4-ohm-3-watt-2-inch-external-magnet-speaker?variant=47448108859632
Glue sticks,1,1.63,https://amzn.in/d/43GymWT
3-Port USB Data Hub,1,2.27,https://amzn.in/d/46fNjhM
Generic OTG,1,0.79,https://makerbazar.in/products/raspberry-pi-official-micro-usb-b-male-to-usb-a-female-adapter?variant=46329452069104
Cheap Micro USB Data,1,0.44,https://makerbazar.in/products/cable-micro-usb-data?variant=19626101604448
Generic: (Low Cost) Type-C USB Data Cable,1,0.44,https://makerbazar.in/products/generic-low-cost-type-c-usb-data-cable-black-white?variant=46882891628784
Pitch Male Berg Strip,4,0.32,https://robocraze.com/products/40x1-pin-2-54mm-pitch-male-berg-strip?_pos=6&_sid=39e63d61e&_ss=r
Ribbon Wire,2,0.59,https://makerbazar.in/products/multi-coloured-ribbon-cable-wire?variant=40914898813079
Power cable,1,1.88,https://amzn.in/d/1qUcsjT
Dupont Jumper wires (M-F),1,0.63,https://makerbazar.in/products/jumper-cable-male-female?variant=40661734686871
Type-C DIP PCB Breakout board,1,0.22,https://makerbazar.in/products/type-c-usb-female-to-dip-pcb-breakout-board?variant=46337045299440
HDMI to Micro HDMI Cable,1,1.59,https://robocraze.com/products/hdmi-to-micro-hdmi-cable?_pos=1&_sid=8543d0d0a&_ss=r
Heat Sink,1,0.21,https://robocraze.com/products/raspberry-pi-3-in-1-heat-sink-aluminium-for-raspberry-pi-4b-white-pack-of-1
Sound card,1,3.31,https://amzn.in/d/23tvhUv
Stainless Steel M3 16mm Nut-Bolt pack,1,0.86,https://makerbazar.in/products/stainless-steel-allen-head-nut-bolt-washer-set?variant=44137313829104
Threaded Round Female Insert Nut M3 10mm,4,0.23,https://makerbazar.in/products/brass-heat-set-threaded-round-female-insert-nut?variant=44435312083184
Threaded Round Female Insert Nut M3 5mm,4,0.16,https://makerbazar.in/products/brass-heat-set-threaded-round-female-insert-nut?variant=46685102932208
3.5mm Audio Jack Connector Male,1,0.13,https://makerbazar.in/products/3-5mm-stereo-audio-jack-connector-male?variant=41074751078551
Miscs,,4,
Shipping and extra fees,,1.19,
Total,,75.76,
